ID,Phase,Position_x,Position_y,Position_z,Orientation_x,Orientation_y,Orientation_z
73,4.777838827,0.010268291,-0.156663851,0,-0.065403129,0.997858923,0
74,4.843288674,0.020492612,-0.155656843,0,-0.130526192,0.991444861,0
75,4.908738521,0.030629181,-0.153983289,0,-0.195090322,0.98078528,0
76,4.974188368,0.04063459,-0.151650355,0,-0.258819045,0.965925826,0
77,5.039638215,0.050465996,-0.14866803,0,-0.321439465,0.946930129,0
78,5.105088062,0.060081299,-0.145049087,0,-0.382683432,0.923879533,0
79,5.170537909,0.069439324,-0.14080902,0,-0.44228869,0.896872742,0
80,5.235987756,0.0785,-0.135965988,0,-0.5,0.866025404,0
81,5.301437603,0.087224527,-0.130540729,0,-0.555570233,0.831469612,0
82,5.36688745,0.095575544,-0.124556474,0,-0.608761429,0.79335334,0
83,5.432337297,0.103517293,-0.11803885,0,-0.659345815,0.751839807,0
84,5.497787144,0.111015765,-0.111015765,0,-0.707106781,0.707106781,0
85,5.563236991,0.11803885,-0.103517293,0,-0.751839807,0.659345815,0
86,5.628686838,0.124556474,-0.095575544,0,-0.79335334,0.608761429,0
87,5.694136685,0.130540729,-0.087224527,0,-0.831469612,0.555570233,0
88,5.759586532,0.135965988,-0.0785,0,-0.866025404,0.5,0
89,5.825036379,0.14080902,-0.069439324,0,-0.896872742,0.44228869,0
90,5.890486225,0.145049087,-0.060081299,0,-0.923879533,0.382683432,0
91,5.955936072,0.14866803,-0.050465996,0,-0.946930129,0.321439465,0
92,6.021385919,0.151650355,-0.04063459,0,-0.965925826,0.258819045,0
93,6.086835766,0.153983289,-0.030629181,0,-0.98078528,0.195090322,0
94,6.152285613,0.155656843,-0.020492612,0,-0.991444861,0.130526192,0
95,6.21773546,0.156663851,-0.010268291,0,-0.997858923,0.065403129,0
96,0.032724923,0.156663851,0.010268291,0.009,-0.997858923,-0.065403129,0
97,0.09817477,0.155656843,0.020492612,0.009,-0.991444861,-0.130526192,0
98,0.163624617,0.153983289,0.030629181,0.009,-0.98078528,-0.195090322,0
99,0.229074464,0.151650355,0.04063459,0.009,-0.965925826,-0.258819045,0
100,0.294524311,0.14866803,0.050465996,0.009,-0.946930129,-0.321439465,0
101,0.359974158,0.145049087,0.060081299,0.009,-0.923879533,-0.382683432,0
102,0.425424005,0.14080902,0.069439324,0.009,-0.896872742,-0.44228869,0
